lat,lon,alt,date,device,os,version
52.4904251099,13.4294614792,44.75,2012-03-27 16:51:12,"iPhone3,1",5.1,1.0
52.49168396,13.4260120392,44.75,2012-03-27 16:51:12,"iPhone3,1",5.1,1.0
52.4904251099,13.4294614792,44.75,2012-03-27 16:51:12,"iPhone3,1",5.1.1,1.0
52.49168396,13.4260120392,44.75,2012-03-27 16:51:12,"iPhone3,1",5.1.1,1.0
52.4904251099,13.4294614792,44.75,2012-03-27 16:51:12,"iPhone3,1",5.1.1,1.1
52.49168396,13.4260120392,44.75,2012-03-27 16:51:12,"iPhone3,1",5.1.1,1.1
52.4916954041,13.4258947372,43.4705352783,2012-03-27 16:55:28,"iPhone3,1",5.1,1.0
52.491607666,13.4257192612,43.5546188354,2012-03-27 16:55:28,"iPhone3,1",5.1,1.0
52.4916954041,13.4258947372,43.4705352783,2012-03-27 16:55:28,"iPhone3,1",5.1.1,1.0
52.491607666,13.4257192612,43.5546188354,2012-03-27 16:55:28,"iPhone3,1",5.1.1,1.0
52.4916954041,13.4258947372,43.4705352783,2012-03-27 16:55:28,"iPhone3,1",5.1.1,1.1
52.491607666,13.4257192612,43.5546188354,2012-03-27 16:55:28,"iPhone3,1",5.1.1,1.1
52.4904747009,13.4292621613,44.0276374817,2012-03-27 17:04:00,"iPhone3,1",5.1,1.0
52.4915618896,13.4258174896,43.1677703857,2012-03-27 17:04:00,"iPhone3,1",5.1,1.0
52.4904747009,13.4292621613,44.0276374817,2012-03-27 17:04:00,"iPhone3,1",5.1.1,1.0
52.4915618896,13.4258174896,43.1677703857,2012-03-27 17:04:00,"iPhone3,1",5.1.1,1.0
52.4904747009,13.4292621613,44.0276374817,2012-03-27 17:04:00,"iPhone3,1",5.1.1,1.1
52.4915618896,13.4258174896,43.1677703857,2012-03-27 17:04:00,"iPhone3,1",5.1.1,1.1
52.4906806946,13.3969926834,41.0714302063,2012-03-28 15:28:00,"iPhone3,1",5.1,1.0
52.4906806946,13.3969926834,41.0714302063,2012-03-28 15:28:00,"iPhone3,1",5.1.1,1.0
52.4906806946,13.3969926834,41.0714302063,2012-03-28 15:28:00,"iPhone3,1",5.1.1,1.1
52.4895172119,13.404791832,40.5649833679,2012-03-28 17:36:00,"iPhone3,1",5.1,1.0
52.4895172119,13.404791832,40.5649833679,2012-03-28 17:36:00,"iPhone3,1",5.1.1,1.0
52.4895172119,13.404791832,40.5649833679,2012-03-28 17:36:00,"iPhone3,1",5.1.1,1.1
52.4917831421,13.4131813049,40.056098938,2012-03-28 17:44:32,"iPhone3,1",5.1,1.0
52.4917831421,13.4131813049,40.056098938,2012-03-28 17:44:32,"iPhone3,1",5.1.1,1.0
52.4917831421,13.4131813049,40.056098938,2012-03-28 17:44:32,"iPhone3,1",5.1.1,1.1
52.491645813,13.4205465317,43.5317649841,2012-03-28 17:53:04,"iPhone3,1",5.1,1.0
52.491645813,13.4205465317,43.5317649841,2012-03-28 17:53:04,"iPhone3,1",5.1.1,1.0
52.491645813,13.4205465317,43.5317649841,2012-03-28 17:53:04,"iPhone3,1",5.1.1,1.1
52.4903030396,13.4283695221,41.7287139893,2012-03-28 18:52:48,"iPhone3,1",5.1,1.0
52.4903030396,13.4283695221,41.7287139893,2012-03-28 18:52:48,"iPhone3,1",5.1.1,1.0
